Weight,USA,Canada,Germany,Belgium,Denmark,France,Italy,Luxembou,Netherlands,Spain,Switzerland,Austria,Finland,Greece,Ireland,Norway,Portugal,SwedenUAE,Australia,Singapore,UK,Sri Lanka,Nepal,"Bangladesh","HongKong",Malaysia,Indonesia,"Korea, Rep.",Macau,"Philippines",Taiwan,Thailand,Vietnam
0.100,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746264,688,292,424,191,64,668,398,1172,1342,1293,1342,1293,1293,1293,1658
0.150,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746281,714,306,444,205,71,668,398,1186,1356,1307,1356,1307,1307,1307,1672
0.200,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746300,740,320,464,218,79,668,398,1200,1371,1321,1371,1321,1321,1321,1686
0.250,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746318,766,334,484,232,87,668,398,1214,1385,1335,1385,1335,1335,1335,1700
0.300,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746335,793,348,504,246,94,668,398,1228,1399,1349,1399,1349,1349,1349,1714
0.350,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746354,819,362,524,259,102,668,398,1242,1413,1364,1413,1364,1364,1364,1728
0.400,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746372,845,376,544,273,111,668,398,1256,1427,1378,1427,1378,1378,1378,1742
0.450,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746389,871,391,564,286,118,668,398,1271,1441,1392,1441,1392,1392,1392,1756
0.500,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746408,896,405,584,300,126,668,398,1285,1455,1406,1455,1406,1406,1406,1771
0.600,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887444,948,433,624,327,147,842,522,1501,1747,1732,1747,1732,1732,1732,1853
0.700,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887480,1001,461,662,354,164,842,522,1529,1775,1760,1775,1760,1760,1760,1881
0.800,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887516,1053,489,702,381,179,842,522,1558,1804,1788,1804,1788,1788,1788,1909
0.900,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887553,1105,518,742,409,194,842,522,1586,1832,1816,1832,1816,1816,1816,1938
1.000,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887588,1158,546,782,436,211,842,522,1824,2167,2146,2167,2146,2146,2146,2167
1.250,1169,1321,1035,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095679,1287,616,882,505,264,842,522,1894,2238,2216,2238,2216,2216,2216,2238
1.500,1169,1321,1035,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095769,1418,687,982,573,302,1016,721,1965,2309,2287,2309,2287,2287,2287,2309
1.750,1352,1480,1176,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243860,1548,758,1081,641,355,1191,806,2245,2638,2659,2651,2659,2659,2659,2613
