Weight,United States,United Kingdom,Canada,Australia,Germany,Austria,Bahrain,Belgium,Denmark,Finland,France,Greece,Hong Kong,Ireland,Italy,Luxembourg,Malaysia,Mexico,Netherlands,Norway,Oman,Portugal,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,United Arab Emirates,
0.05,315.0,300.0,449.0,509.0,396.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.1,349.0,333.0,499.0,572.0,421.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.15,399.0,355.0,647.0,637.0,442.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.2,440.0,371.0,649.0,701.0,464.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.25,515.0,394.0,780.0,764.0,483.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.3,555.0,416.0,799.0,829.0,507.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.35,625.0,438.0,913.0,892.0,525.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.4,646.0,460.0,949.0,943.0,547.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.45,699.0,482.0,1048.0,943.0,565.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
0.5,873.0,510.0,1049.0,943.0,586.0,1192.0,756.0,1100.0,1147.0,1192.0,1147.0,1192.0,739.0,1192.0,1147.0,1100.0,768.0,1245.0,1100.0,1192.0,750.0,1192.0,856.0,768.0,1181.0,1192.0,1192.0,1147.0,827.0,544.0,
