Weight,USA,Canada,Germany,Belgium,Denmark,France,Italy,Luxembou,Netherlands,Spain,Switzerland,Austria,Finland,Greece,Ireland,Norway,Portugal,Sweden
0.100,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.150,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.200,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.250,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.300,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.350,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.400,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.450,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.500,840,1004,705,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746
0.600,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
0.700,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
0.800,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
0.900,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
1.000,1009,1164,838,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887
1.250,1169,1321,1035,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095
1.500,1169,1321,1035,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095,1095
1.750,1352,1480,1176,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
2.000,1352,1480,1176,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243
2.250,1515,1640,1318,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392
2.500,1515,1640,1318,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392
2.750,1715,1924,1553,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644
3.000,1715,1924,1553,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644
3.250,1914,2114,1779,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
3.500,1914,2114,1779,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
3.750,2114,2267,1914,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
4.000,2114,2267,1914,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
4.250,2313,2420,2048,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162
4.500,2313,2420,2048,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162,2162
4.750,2512,2676,2178,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
5.000,2512,2676,2178,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
5.500,3376,3376,2312,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440
6.000,3552,3552,2443,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577,2577
6.500,3729,3729,2576,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718,2718
7.000,3902,3902,2705,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856,2856
7.500,4080,4080,2838,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,2996
8.000,4254,4254,2938,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102,3102
8.500,4432,4432,3040,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208,3208
9.000,4608,4608,3140,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313,3313
9.500,4784,4784,3242,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416,3416
10.000,4959,4959,3336,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520,3520
