Country ID, United States , United Kingdom , Canada , Australia , Germany , Austria , Bahrain , Belgium , Denmark , Finland , France , Greece , Hong Kong , Ireland , Italy , Luxembourg , Malaysia , Mexico , Netherlands , Norway , Oman , Portugal , Saudi Arabia , Singapore , South Africa , Spain , Sweden , Switzerland , Thailand , United Arab Emirates 
Wt Slab (Kg),Rates (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,  315 ,  300 ,  449 ,  509 ,  396 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.1,  349 ,  333 ,  499 ,  572 ,  421 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.15,  399 ,  355 ,  647 ,  637 ,  442 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.2,  440 ,  371 ,  649 ,  701 ,  464 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.25,  515 ,  394 ,  780 ,  764 ,  483 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.3,  555 ,  416 ,  799 ,  829 ,  507 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.35,  625 ,  438 ,  913 ,  892 ,  525 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.4,  646 ,  460 ,  949 ,  943 ,  547 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.45,  699 ,  482 ,"  1,048 ",  943 ,  565 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.5,  873 ,  510 ,"  1,049 ",  943 ,  586 ,"  1,192 ",  756 ,"  1,100 ","  1,147 ","  1,192 ","  1,147 ","  1,192 ",  739 ,"  1,192 ","  1,147 ","  1,100 ",  768 ,"  1,245 ","  1,100 ","  1,192 ",  750 ,"  1,192 ",  856 ,  768 ,"  1,181 ","  1,192 ","  1,192 ","  1,147 ",  827 ,  544 
0.6,  939 ,  551 ,"  1,149 ","  1,156 ",  632 ,"  1,392 ","  1,143 ","  1,272 ","  1,338 ","  1,392 ","  1,338 ","  1,392 ","  1,107 ","  1,392 ","  1,338 ","  1,272 ","  1,225 ","  1,481 ","  1,272 ","  1,392 ","  1,131 ","  1,392 ","  1,313 ","  1,137 ","  1,608 ","  1,392 ","  1,392 ","  1,338 ","  1,313 ",  695 
0.7,"  1,017 ",  593 ,"  1,199 ","  1,156 ",  671 ,"  1,392 ","  1,143 ","  1,272 ","  1,338 ","  1,392 ","  1,338 ","  1,392 ","  1,107 ","  1,392 ","  1,338 ","  1,272 ","  1,225 ","  1,481 ","  1,272 ","  1,392 ","  1,131 ","  1,392 ","  1,313 ","  1,137 ","  1,608 ","  1,392 ","  1,392 ","  1,338 ","  1,313 ",  695 
0.8,"  1,076 ",  632 ,"  1,249 ","  1,156 ",  713 ,"  1,392 ","  1,143 ","  1,272 ","  1,338 ","  1,392 ","  1,338 ","  1,392 ","  1,107 ","  1,392 ","  1,338 ","  1,272 ","  1,225 ","  1,481 ","  1,272 ","  1,392 ","  1,131 ","  1,392 ","  1,313 ","  1,137 ","  1,608 ","  1,392 ","  1,392 ","  1,338 ","  1,313 ",  695 
