w,1,2,3,4,5,6,7,8,9,
0.5,885.81,916.22,1049.25,970.1,990.03,1043.52,1474.66,1664.28,1049.15,
1.0,1069.26,1099.22,1312.67,1158.18,1158.24,1230.85,1853.7,2041.74,1313.63,
1.5,1252.59,1282.67,1578.26,1345.97,1326.51,1418.95,2231.62,2421.92,1577.78,
2.0,1435.95,1466.39,1842.54,1534.17,1494.85,1607.44,2611.53,2799.92,1842.94,
2.5,1618.81,1648.71,2106.36,1722.21,1663.5,1794.7,2989.62,3178.56,2107.23,
3.0,1802.24,1832.62,2371.85,1908.65,1831.86,1982.21,3369.19,3558.5,2372.13,
3.5,1985.07,2015.35,2636.05,2096.86,2000.39,2170.24,3748.79,3937.67,2636.45,
4.0,2167.73,2198.13,2900.65,2284.71,2168.81,2357.1,4127.38,4316.26,2901.3,
4.5,2351.0,2381.45,3164.76,2472.92,2336.7,2545.3,4504.94,4693.4,3165.87,
5.0,2535.32,2563.65,3430.24,2660.77,2505.59,2732.34,4883.71,5073.87,3427.84,
5.5,2716.87,2747.03,3673.08,2869.08,2736.79,2940.9,5258.78,5448.62,3672.38,
6.0,2901.43,2931.8,3917.49,3077.57,2968.44,3150.07,5633.77,5823.56,3918.43,
6.5,3084.57,3114.95,4162.88,3285.97,3200.28,3358.29,6008.69,6197.96,4161.56,
7.0,3266.73,3298.41,4406.15,3494.3,3431.98,3567.44,6384.29,6573.34,4406.79,
7.5,3450.6,3480.07,4650.2,3703.52,3663.66,3775.4,6758.36,6946.83,4650.62,
8.0,3631.48,3662.99,4894.69,3910.48,3894.86,3984.38,7133.02,7322.66,4895.49,
8.5,3816.52,3847.49,5138.75,4120.14,4126.94,4193.74,7506.19,7697.6,5138.84,
9.0,4000.09,4031.46,5382.74,4327.63,4357.7,4402.03,7881.72,8072.52,5383.14,
9.5,4181.91,4212.96,5626.7,4537.63,4588.53,4609.9,8256.61,8445.82,5625.57,
10.0,4365.78,4396.13,5870.79,4745.89,4822.02,4819.01,8629.8,8820.58,5871.27,
10.5,4548.72,4599.05,6115.73,4996.29,5073.04,5067.97,8999.87,9188.35,6116.28,
11.0,4733.76,4801.54,6359.27,5245.99,5325.76,5319.16,9367.14,9554.86,6358.72,
11.5,4914.18,5006.65,6603.91,5495.64,5578.1,5569.67,9734.47,9925.08,6604.75,
12.0,5097.77,5211.38,6847.96,5746.86,5831.32,5820.17,10104.84,10292.55,6848.04,
12.5,5280.59,5412.9,7092.05,5997.79,6084.74,6070.24,10474.07,10660.75,7092.09,
13.0,5464.95,5618.93,7335.9,6246.71,6336.54,6319.19,10840.51,11029.96,7335.49,
13.5,5648.12,5819.89,7577.97,6497.36,6588.99,6570.34,11209.15,11399.43,7579.56,
14.0,5831.15,6024.04,7824.26,6748.39,6840.39,6820.99,11576.99,11765.59,7825.01,
14.5,6013.39,6227.88,8068.92,6998.37,7095.22,7071.4,11945.56,12135.81,8068.59,
15.0,6197.02,6430.76,8313.32,7248.12,7346.36,7321.39,12315.23,12504.2,8312.12,
15.5,6399.35,6635.36,8557.82,7540.17,7620.36,7613.85,12677.11,12865.64,8556.35,
16.0,6604.51,6837.71,8802.24,7830.58,7894.01,7904.49,13038.24,13226.61,8800.26,
16.5,6807.63,7041.84,9045.04,8124.53,8167.72,8197.19,13400.41,13590.82,9044.79,
17.0,7011.3,7244.97,9290.04,8418.12,8441.93,8489.46,13763.59,13951.28,9289.74,
17.5,7214.49,7447.62,9534.19,8706.58,8714.16,8780.39,14123.28,14313.48,9531.75,
18.0,7418.24,7651.18,9776.91,9001.5,8988.83,9074.32,14487.23,14673.91,9776.77,
18.5,7620.3,7855.38,10021.71,9292.22,9260.24,9364.29,14849.33,15037.41,10022.67,
19.0,7824.07,8057.48,10264.46,9584.53,9537.24,9658.54,15209.34,15399.37,10266.0,
19.5,8027.85,8262.76,10509.61,9876.35,9807.99,9948.52,15573.11,15759.87,10508.94,
20.0,8231.51,8465.0,10753.59,10169.97,10081.74,10242.09,15934.33,16124.31,10754.09,
21.0,4914.68,7475.11,8982.6,8732.78,9690.97,8968.18,12774.59,16100.99,8973.25,
22.0,5148.71,7831.07,9410.34,9148.63,10152.44,9395.23,13382.9,16867.7,9400.55,
23.0,5382.75,8187.02,9838.09,9564.47,10613.92,9822.29,13991.21,17634.42,9827.85,
24.0,5616.78,8542.98,10265.83,9980.32,11075.39,10249.34,14599.53,18401.13,10255.14,
25.0,5850.81,8898.94,10693.57,10396.17,11536.87,10676.4,15207.84,19167.84,10682.44,
26.0,6084.84,9254.9,11121.32,10812.01,11998.34,11103.46,15816.15,19934.56,11109.74,
27.0,6318.87,9610.85,11549.06,11227.86,12459.82,11530.51,16424.47,20701.27,11537.04,
28.0,6552.91,9966.81,11976.8,11643.7,12921.29,11957.57,17032.78,21467.98,11964.34,
29.0,6786.94,10322.77,12404.54,12059.55,13382.77,12384.62,17641.09,22234.7,12391.63,
30.0,7020.97,10678.73,12832.29,12475.4,13844.24,12811.68,18249.41,23001.41,12818.93,
31.0,7255.0,11034.68,13260.03,12891.24,14305.72,13238.74,18857.72,23768.12,13246.23,
32.0,7489.04,11390.64,13687.77,13307.09,14767.19,13665.79,19466.04,24534.84,13673.53,
33.0,7723.07,11746.6,14115.52,13722.94,15228.67,14092.85,20074.35,25301.55,14100.82,
34.0,7957.1,12102.56,14543.26,14138.78,15690.14,14519.9,20682.66,26068.27,14528.12,
35.0,8191.13,12458.51,14971.0,14554.63,16151.61,14946.96,21290.98,26834.98,14955.42,
36.0,8425.17,12814.47,15398.74,14970.48,16613.09,15374.02,21899.29,27601.69,15382.72,
37.0,8659.2,13170.43,15826.49,15386.32,17074.56,15801.07,22507.6,28368.41,15810.01,
38.0,8893.23,13526.39,16254.23,15802.17,17536.04,16228.13,23115.92,29135.12,16237.31,
39.0,9127.26,13882.34,16681.97,16218.02,17997.51,16655.18,23724.23,29901.83,16664.61,
40.0,9361.3,14238.3,17109.72,16633.86,18458.99,17082.24,24332.54,30668.55,17091.91,
41.0,9595.33,14594.26,17537.46,17049.71,18920.46,17509.3,24940.86,31435.26,17519.21,
42.0,9829.36,14950.22,17965.2,17465.56,19381.94,17936.35,25549.17,32201.98,17946.5,
43.0,10063.39,15306.17,18392.94,17881.4,19843.41,18363.41,26157.48,32968.69,18373.8,
44.0,10297.43,15662.13,18820.69,18297.25,20304.89,18790.46,26765.8,33735.4,18801.1,
45.0,10501.16,14653.12,17396.69,17290.97,17923.21,18213.59,26510.4,32058.18,17393.04,
46.0,10734.51,14978.74,17783.29,17675.21,18321.5,18618.34,27099.52,32770.58,17779.55,
47.0,10967.87,15304.37,18169.88,18059.46,18719.79,19023.09,27688.64,33482.99,18166.06,
48.0,11201.23,15629.99,18556.47,18443.7,19118.09,19427.83,28277.76,34195.39,18552.58,
49.0,11434.59,15955.62,18943.07,18827.95,19516.38,19832.58,28866.88,34907.8,18939.09,
50.0,11667.95,16281.24,19329.66,19212.19,19914.68,20237.33,29456.0,35620.2,19325.6,
51.0,11901.31,16606.86,19716.25,19596.43,20312.97,20642.07,30045.12,36332.6,19712.11,
52.0,12134.67,16932.49,20102.85,19980.68,20711.26,21046.82,30634.24,37045.01,20098.62,
53.0,12368.03,17258.11,20489.44,20364.92,21109.56,21451.56,31223.36,37757.41,20485.14,
54.0,12601.39,17583.74,20876.03,20749.17,21507.85,21856.31,31812.48,38469.82,20871.65,
55.0,12834.75,17909.36,21262.63,21133.41,21906.14,22261.06,32401.6,39182.22,21258.16,
56.0,13068.1,18234.99,21649.22,21517.65,22304.44,22665.8,32990.72,39894.62,21644.67,
57.0,13301.46,18560.61,22035.81,21901.9,22702.73,23070.55,33579.84,40607.03,22031.18,
58.0,13534.82,18886.24,22422.41,22286.14,23101.02,23475.3,34168.96,41319.43,22417.7,
59.0,13768.18,19211.86,22809.0,22670.38,23499.32,23880.04,34758.08,42031.84,22804.21,
60.0,14001.54,19537.49,23195.59,23054.63,23897.61,24284.79,35347.2,42744.24,23190.72,
61.0,14234.9,19863.11,23582.19,23438.87,24295.9,24689.54,35936.32,43456.64,23577.23,
62.0,14468.26,20188.74,23968.78,23823.12,24694.2,25094.28,36525.44,44169.05,23963.74,
63.0,14701.62,20514.36,24355.37,24207.36,25092.49,25499.03,37114.56,44881.45,24350.26,
64.0,14934.98,20839.99,24741.96,24591.6,25490.78,25903.78,37703.68,45593.86,24736.77,
65.0,15168.34,21165.61,25128.56,24975.85,25889.08,26308.52,38292.8,46306.26,25123.28,
66.0,15401.69,21491.24,25515.15,25360.09,26287.37,26713.27,38881.92,47018.66,25509.79,
67.0,15635.05,21816.86,25901.74,25744.33,26685.66,27118.02,39471.04,47731.07,25896.3,
68.0,15868.41,22142.49,26288.34,26128.58,27083.96,27522.76,40060.16,48443.47,26282.82,
69.0,16101.77,22468.11,26674.93,26512.82,27482.25,27927.51,40649.28,49155.88,26669.33,
70.0,16335.13,22793.74,27061.52,26897.07,27880.55,28332.26,41238.4,49868.28,27055.84,
71.0,233.36,325.62,386.59,384.24,398.29,404.75,589.12,712.4,386.51,
100.0,212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26,
300.0,212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26,
500.0,212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26,
1000.0,212.71,280.83,372.77,363.42,381.42,378.78,482.09,591.17,372.26,
