w,1,2,3,4,5,6,7,8,9
0.5,885.81,916.22,"1,049.25",970.10,990.03,"1,043.52","1,474.66","1,664.28","1,049.15"
1.0,"1,069.26","1,099.22","1,312.67","1,158.18","1,158.24","1,230.85","1,853.70","2,041.74","1,313.63"
1.5,"1,252.59","1,282.67","1,578.26","1,345.97","1,326.51","1,418.95","2,231.62","2,421.92","1,577.78"
2.0,"1,435.95","1,466.39","1,842.54","1,534.17","1,494.85","1,607.44","2,611.53","2,799.92","1,842.94"
2.5,"1,618.81","1,648.71","2,106.36","1,722.21","1,663.50","1,794.70","2,989.62","3,178.56","2,107.23"
3.0,"1,802.24","1,832.62","2,371.85","1,908.65","1,831.86","1,982.21","3,369.19","3,558.50","2,372.13"
3.5,"1,985.07","2,015.35","2,636.05","2,096.86","2,000.39","2,170.24","3,748.79","3,937.67","2,636.45"
4.0,"2,167.73","2,198.13","2,900.65","2,284.71","2,168.81","2,357.10","4,127.38","4,316.26","2,901.30"
4.5,"2,351.00","2,381.45","3,164.76","2,472.92","2,336.70","2,545.30","4,504.94","4,693.40","3,165.87"
5.0,"2,535.32","2,563.65","3,430.24","2,660.77","2,505.59","2,732.34","4,883.71","5,073.87","3,427.84"
5.5,"2,716.87","2,747.03","3,673.08","2,869.08","2,736.79","2,940.90","5,258.78","5,448.62","3,672.38"
6.0,"2,901.43","2,931.80","3,917.49","3,077.57","2,968.44","3,150.07","5,633.77","5,823.56","3,918.43"
6.5,"3,084.57","3,114.95","4,162.88","3,285.97","3,200.28","3,358.29","6,008.69","6,197.96","4,161.56"
7.0,"3,266.73","3,298.41","4,406.15","3,494.30","3,431.98","3,567.44","6,384.29","6,573.34","4,406.79"
7.5,"3,450.60","3,480.07","4,650.20","3,703.52","3,663.66","3,775.40","6,758.36","6,946.83","4,650.62"
8.0,"3,631.48","3,662.99","4,894.69","3,910.48","3,894.86","3,984.38","7,133.02","7,322.66","4,895.49"
8.5,"3,816.52","3,847.49","5,138.75","4,120.14","4,126.94","4,193.74","7,506.19","7,697.60","5,138.84"
9.0,"4,000.09","4,031.46","5,382.74","4,327.63","4,357.70","4,402.03","7,881.72","8,072.52","5,383.14"
9.5,"4,181.91","4,212.96","5,626.70","4,537.63","4,588.53","4,609.90","8,256.61","8,445.82","5,625.57"
10.0,"4,365.78","4,396.13","5,870.79","4,745.89","4,822.02","4,819.01","8,629.80","8,820.58","5,871.27"
10.5,"4,548.72","4,599.05","6,115.73","4,996.29","5,073.04","5,067.97","8,999.87","9,188.35","6,116.28"
11.0,"4,733.76","4,801.54","6,359.27","5,245.99","5,325.76","5,319.16","9,367.14","9,554.86","6,358.72"
11.5,"4,914.18","5,006.65","6,603.91","5,495.64","5,578.10","5,569.67","9,734.47","9,925.08","6,604.75"
12.0,"5,097.77","5,211.38","6,847.96","5,746.86","5,831.32","5,820.17","10,104.84","10,292.55","6,848.04"
12.5,"5,280.59","5,412.90","7,092.05","5,997.79","6,084.74","6,070.24","10,474.07","10,660.75","7,092.09"
13.0,"5,464.95","5,618.93","7,335.90","6,246.71","6,336.54","6,319.19","10,840.51","11,029.96","7,335.49"
