w,1,2,3,4,5,6,7,8,9,
0.5,938.13,971.38,1112.34,1028.79,1049.84,1106.02,1562.84,1763.21,1111.44,
1.0,1133.45,1165.35,1391.68,1227.87,1227.51,1305.31,1964.92,2164.16,1392.04,
1.5,1328.07,1359.84,1672.08,1426.65,1406.29,1504.0,2365.78,2566.22,1671.77,
2.0,1522.42,1553.66,1952.63,1625.85,1584.63,1703.79,2767.95,2967.82,1953.16,
2.5,1715.26,1747.27,2232.66,1824.87,1763.01,1902.33,3168.63,3369.75,2232.93,
3.0,1910.42,1942.44,2514.03,2023.47,1941.99,2101.6,3571.19,3771.51,2513.16,
3.5,2103.88,2135.92,2794.08,2222.21,2120.31,2300.44,3973.0,4173.18,2793.74,
4.0,2297.5,2329.72,3074.2,2422.23,2298.75,2498.76,4374.19,4574.71,3074.61,
4.5,2491.06,2523.51,3354.92,2621.82,2477.72,2698.04,4775.15,4974.74,3356.35,
5.0,2686.71,2717.46,3635.23,2820.38,2655.17,2896.33,5177.36,5377.37,3634.28,
5.5,2880.3,2911.97,3893.4,3040.89,2901.04,3116.97,5574.72,5775.26,3892.88,
6.0,3075.57,3107.22,4152.41,3262.17,3146.59,3338.47,5970.6,6172.49,4154.11,
6.5,3269.49,3301.16,4411.4,3482.15,3391.78,3559.76,6369.27,6570.01,4411.63,
7.0,3461.62,3496.09,4670.0,3704.18,3637.98,3781.23,6766.89,6967.3,4670.53,
7.5,3658.16,3688.98,4928.67,3925.02,3882.95,4001.73,7162.51,7363.14,4928.3,
8.0,3850.21,3882.08,5187.41,4145.4,4128.35,4223.81,7560.37,7762.75,5188.42,
8.5,4045.26,4077.87,5447.67,4367.65,4374.63,4445.5,7957.23,8158.75,5446.08,
9.0,4238.36,4272.36,5705.49,4587.69,4618.35,4665.57,8354.38,8556.99,5705.61,
9.5,4433.38,4465.45,5964.58,4809.93,4863.97,4886.22,8751.84,8952.18,5963.26,
10.0,4627.47,4658.76,6223.41,5030.75,5109.85,5107.91,9147.5,9350.26,6223.45,
10.5,4821.17,4875.19,6481.31,5296.07,5377.25,5372.0,9538.22,9739.13,6482.71,
11.0,5015.68,5089.0,6740.55,5560.89,5645.12,5638.08,9930.73,10128.11,6739.4,
11.5,5208.92,5307.03,6999.81,5825.36,5912.26,5903.48,10319.57,10520.45,7000.13,
12.0,5403.68,5523.91,7257.93,6090.72,6181.31,6169.73,10710.53,10909.87,7257.98,
12.5,5598.35,5737.93,7517.42,6357.6,6449.61,6434.35,11101.78,11300.57,7517.98,
13.0,5792.39,5954.0,7774.67,6621.3,6716.09,6697.67,11491.09,11690.92,7775.63,
13.5,5986.07,6168.69,8032.94,6887.12,6984.91,6964.81,11881.74,12081.91,8033.16,
14.0,6180.98,6384.38,8293.82,7152.23,7251.02,7231.13,12271.53,12471.03,8294.13,
14.5,6374.21,6601.04,8553.13,7418.52,7520.63,7495.01,12661.63,12862.8,8552.04,
15.0,6567.89,6815.78,8811.78,7683.83,7786.39,7760.06,13053.23,13254.65,8809.79,
15.5,6783.36,7033.71,9070.85,7991.75,8076.6,8070.1,13437.79,13637.8,9070.42,
16.0,6999.3,7247.04,9330.21,8301.26,8367.55,8378.83,13820.47,14019.31,9328.89,
16.5,7214.07,7463.5,9588.03,8611.68,8657.86,8688.16,14204.19,14405.3,9586.01,
17.0,7432.43,7679.06,9846.81,8922.84,8948.3,8998.58,14590.09,14788.29,9846.57,
17.5,7646.3,7894.49,10104.67,9229.57,9236.35,9307.32,14971.3,15171.66,10103.58,
18.0,7863.4,8110.35,10363.52,9541.72,9528.17,9618.52,15355.86,15553.2,10363.68,
18.5,8076.18,8325.73,10621.64,9849.11,9815.9,9926.21,15738.91,15939.35,10622.58,
19.0,8293.02,8541.01,10880.12,10159.44,10108.28,10238.1,16121.2,16322.9,10881.72,
19.5,8508.81,8757.54,11140.23,10469.68,10396.82,10545.11,16506.8,16706.06,11139.4,
20.0,8725.49,8972.47,11398.46,10780.0,10687.01,10855.6,16890.18,17092.37,11399.22,
21.0,5201.86,7938.08,9518.3,9258.85,10283.33,9505.44,13523.38,17079.44,9523.46,
22.0,5449.57,8316.09,9971.55,9699.75,10773.01,9958.08,14167.35,17892.75,9976.96,
23.0,5697.27,8694.09,10424.8,10140.64,11262.69,10410.72,14811.32,18706.05,10430.46,
24.0,5944.98,9072.09,10878.05,10581.54,11752.37,10863.36,15455.29,19519.36,10883.95,
25.0,6192.69,9450.1,11331.31,11022.44,12242.06,11316.0,16099.26,20332.67,11337.45,
26.0,6440.4,9828.1,11784.56,11463.34,12731.74,11768.64,16743.23,21145.97,11790.95,
27.0,6688.11,10206.11,12237.81,11904.24,13221.42,12221.28,17387.2,21959.28,12244.45,
28.0,6935.81,10584.11,12691.06,12345.13,13711.1,12673.92,18031.17,22772.59,12697.95,
29.0,7183.52,10962.11,13144.31,12786.03,14200.78,13126.56,18675.14,23585.89,13151.44,
30.0,7431.23,11340.12,13597.57,13226.93,14690.47,13579.2,19319.11,24399.2,13604.94,
31.0,7678.94,11718.12,14050.82,13667.83,15180.15,14031.84,19963.08,25212.51,14058.44,
32.0,7926.64,12096.12,14504.07,14108.72,15669.83,14484.48,20607.05,26025.81,14511.94,
33.0,8174.35,12474.13,14957.32,14549.62,16159.51,14937.12,21251.02,26839.12,14965.44,
34.0,8422.06,12852.13,15410.57,14990.52,16649.19,15389.76,21894.99,27652.43,15418.94,
35.0,8669.77,13230.14,15863.83,15431.42,17138.88,15842.4,22538.96,28465.73,15872.43,
36.0,8917.47,13608.14,16317.08,15872.31,17628.56,16295.04,23182.93,29279.04,16325.93,
37.0,9165.18,13986.14,16770.33,16313.21,18118.24,16747.68,23826.9,30092.35,16779.43,
38.0,9412.89,14364.15,17223.58,16754.11,18607.92,17200.32,24470.88,30905.65,17232.93,
39.0,9660.6,14742.15,17676.84,17195.01,19097.61,17652.96,25114.85,31718.96,17686.43,
40.0,9908.3,15120.16,18130.09,17635.9,19587.29,18105.6,25758.82,32532.27,18139.92,
41.0,10156.01,15498.16,18583.34,18076.8,20076.97,18558.24,26402.79,33345.57,18593.42,
42.0,10403.72,15876.16,19036.59,18517.7,20566.65,19010.88,27046.76,34158.88,19046.92,
43.0,10651.43,16254.17,19489.84,18958.6,21056.33,19463.52,27690.73,34972.19,19500.42,
44.0,10899.13,16632.17,19943.1,19399.49,21546.02,19916.16,28334.7,35785.49,19953.92,
45.0,11152.26,15518.79,18498.38,18296.87,19020.22,19278.34,28062.72,34025.39,18438.34,
46.0,11400.09,15863.65,18909.45,18703.46,19442.89,19706.75,28686.34,34781.51,18848.08,
47.0,11647.92,16208.51,19320.53,19110.06,19865.56,20135.15,29309.95,35537.63,19257.82,
48.0,11895.74,16553.38,19731.6,19516.66,20288.23,20563.56,29933.57,36293.75,19667.56,
49.0,12143.57,16898.24,20142.68,19923.25,20710.9,20991.97,30557.18,37049.87,20077.3,
50.0,12391.4,17243.1,20553.75,20329.85,21133.58,21420.38,31180.8,37805.99,20487.04,
51.0,12639.23,17587.96,20964.83,20736.45,21556.25,21848.78,31804.42,38562.1,20896.78,
52.0,12887.06,17932.82,21375.9,21143.04,21978.92,22277.19,32428.03,39318.22,21306.52,
53.0,13134.88,18277.69,21786.98,21549.64,22401.59,22705.6,33051.65,40074.34,21716.26,
54.0,13382.71,18622.55,22198.05,21956.24,22824.26,23134.01,33675.26,40830.46,22126.0,
