w,1,2,3,4,5,6,7,8,9
0.5,938.13,971.38,"1,112.34","1,028.79","1,049.84","1,106.02","1,562.84","1,763.21","1,111.44"
1.0,"1,133.45","1,165.35","1,391.68","1,227.87","1,227.51","1,305.31","1,964.92","2,164.16","1,392.04"
1.5,"1,328.07","1,359.84","1,672.08","1,426.65","1,406.29","1,504.00","2,365.78","2,566.22","1,671.77"
2.0,"1,522.42","1,553.66","1,952.63","1,625.85","1,584.63","1,703.79","2,767.95","2,967.82","1,953.16"
2.5,"1,715.26","1,747.27","2,232.66","1,824.87","1,763.01","1,902.33","3,168.63","3,369.75","2,232.93"
3.0,"1,910.42","1,942.44","2,514.03","2,023.47","1,941.99","2,101.60","3,571.19","3,771.51","2,513.16"
3.5,"2,103.88","2,135.92","2,794.08","2,222.21","2,120.31","2,300.44","3,973.00","4,173.18","2,793.74"
4.0,"2,297.50","2,329.72","3,074.20","2,422.23","2,298.75","2,498.76","4,374.19","4,574.71","3,074.61"
4.5,"2,491.06","2,523.51","3,354.92","2,621.82","2,477.72","2,698.04","4,775.15","4,974.74","3,356.35"
5.0,"2,686.71","2,717.46","3,635.23","2,820.38","2,655.17","2,896.33","5,177.36","5,377.37","3,634.28"
5.5,"2,880.30","2,911.97","3,893.40","3,040.89","2,901.04","3,116.97","5,574.72","5,775.26","3,892.88"
6.0,"3,075.57","3,107.22","4,152.41","3,262.17","3,146.59","3,338.47","5,970.60","6,172.49","4,154.11"
6.5,"3,269.49","3,301.16","4,411.40","3,482.15","3,391.78","3,559.76","6,369.27","6,570.01","4,411.63"
7.0,"3,461.62","3,496.09","4,670.00","3,704.18","3,637.98","3,781.23","6,766.89","6,967.30","4,670.53"
7.5,"3,658.16","3,688.98","4,928.67","3,925.02","3,882.95","4,001.73","7,162.51","7,363.14","4,928.30"
8.0,"3,850.21","3,882.08","5,187.41","4,145.40","4,128.35","4,223.81","7,560.37","7,762.75","5,188.42"
8.5,"4,045.26","4,077.87","5,447.67","4,367.65","4,374.63","4,445.50","7,957.23","8,158.75","5,446.08"
9.0,"4,238.36","4,272.36","5,705.49","4,587.69","4,618.35","4,665.57","8,354.38","8,556.99","5,705.61"
9.5,"4,433.38","4,465.45","5,964.58","4,809.93","4,863.97","4,886.22","8,751.84","8,952.18","5,963.26"
10.0,"4,627.47","4,658.76","6,223.41","5,030.75","5,109.85","5,107.91","9,147.50","9,350.26","6,223.45"
10.5,"4,821.17","4,875.19","6,481.31","5,296.07","5,377.25","5,372.00","9,538.22","9,739.13","6,482.71"
11.0,"5,015.68","5,089.00","6,740.55","5,560.89","5,645.12","5,638.08","9,930.73","10,128.11","6,739.40"
11.5,"5,208.92","5,307.03","6,999.81","5,825.36","5,912.26","5,903.48","10,319.57","10,520.45","7,000.13"
12.0,"5,403.68","5,523.91","7,257.93","6,090.72","6,181.31","6,169.73","10,710.53","10,909.87","7,257.98"
12.5,"5,598.35","5,737.93","7,517.42","6,357.60","6,449.61","6,434.35","11,101.78","11,300.57","7,517.98"
13.0,"5,792.39","5,954.00","7,774.67","6,621.30","6,716.09","6,697.67","11,491.09","11,690.92","7,775.63"
13.5,"5,986.07","6,168.69","8,032.94","6,887.12","6,984.91","6,964.81","11,881.74","12,081.91","8,033.16"
14.0,"6,180.98","6,384.38","8,293.82","7,152.23","7,251.02","7,231.13","12,271.53","12,471.03","8,294.13"
14.5,"6,374.21","6,601.04","8,553.13","7,418.52","7,520.63","7,495.01","12,661.63","12,862.80","8,552.04"
15.0,"6,567.89","6,815.78","8,811.78","7,683.83","7,786.39","7,760.06","13,053.23","13,254.65","8,809.79"
15.5,"6,783.36","7,033.71","9,070.85","7,991.75","8,076.60","8,070.10","13,437.79","13,637.80","9,070.42"
16.0,"6,999.30","7,247.04","9,330.21","8,301.26","8,367.55","8,378.83","13,820.47","14,019.31","9,328.89"
16.5,"7,214.07","7,463.50","9,588.03","8,611.68","8,657.86","8,688.16","14,204.19","14,405.30","9,586.01"
17.0,"7,432.43","7,679.06","9,846.81","8,922.84","8,948.30","8,998.58","14,590.09","14,788.29","9,846.57"
17.5,"7,646.30","7,894.49","10,104.67","9,229.57","9,236.35","9,307.32","14,971.30","15,171.66","10,103.58"
18.0,"7,863.40","8,110.35","10,363.52","9,541.72","9,528.17","9,618.52","15,355.86","15,553.20","10,363.68"
18.5,"8,076.18","8,325.73","10,621.64","9,849.11","9,815.90","9,926.21","15,738.91","15,939.35","10,622.58"
19.0,"8,293.02","8,541.01","10,880.12","10,159.44","10,108.28","10,238.10","16,121.20","16,322.90","10,881.72"
19.5,"8,508.81","8,757.54","11,140.23","10,469.68","10,396.82","10,545.11","16,506.80","16,706.06","11,139.40"
20.0,"8,725.49","8,972.47","11,398.46","10,780.00","10,687.01","10,855.60","16,890.18","17,092.37","11,399.22"
21.0,"5,201.86","7,938.08","9,518.30","9,258.85","10,283.33","9,505.44","13,523.38","17,079.44","9,523.46"
22.0,"5,449.57","8,316.09","9,971.55","9,699.75","10,773.01","9,958.08","14,167.35","17,892.75","9,976.96"
23.0,"5,697.27","8,694.09","10,424.80","10,140.64","11,262.69","10,410.72","14,811.32","18,706.05","10,430.46"
24.0,"5,944.98","9,072.09","10,878.05","10,581.54","11,752.37","10,863.36","15,455.29","19,519.36","10,883.95"
25.0,"6,192.69","9,450.10","11,331.31","11,022.44","12,242.06","11,316.00","16,099.26","20,332.67","11,337.45"
26.0,"6,440.40","9,828.10","11,784.56","11,463.34","12,731.74","11,768.64","16,743.23","21,145.97","11,790.95"
27.0,"6,688.11","10,206.11","12,237.81","11,904.24","13,221.42","12,221.28","17,387.20","21,959.28","12,244.45"
28.0,"6,935.81","10,584.11","12,691.06","12,345.13","13,711.10","12,673.92","18,031.17","22,772.59","12,697.95"
29.0,"7,183.52","10,962.11","13,144.31","12,786.03","14,200.78","13,126.56","18,675.14","23,585.89","13,151.44"
30.0,"7,431.23","11,340.12","13,597.57","13,226.93","14,690.47","13,579.20","19,319.11","24,399.20","13,604.94"
31.0,"7,678.94","11,718.12","14,050.82","13,667.83","15,180.15","14,031.84","19,963.08","25,212.51","14,058.44"
32.0,"7,926.64","12,096.12","14,504.07","14,108.72","15,669.83","14,484.48","20,607.05","26,025.81","14,511.94"
33.0,"8,174.35","12,474.13","14,957.32","14,549.62","16,159.51","14,937.12","21,251.02","26,839.12","14,965.44"
34.0,"8,422.06","12,852.13","15,410.57","14,990.52","16,649.19","15,389.76","21,894.99","27,652.43","15,418.94"
35.0,"8,669.77","13,230.14","15,863.83","15,431.42","17,138.88","15,842.40","22,538.96","28,465.73","15,872.43"
36.0,"8,917.47","13,608.14","16,317.08","15,872.31","17,628.56","16,295.04","23,182.93","29,279.04","16,325.93"
37.0,"9,165.18","13,986.14","16,770.33","16,313.21","18,118.24","16,747.68","23,826.90","30,092.35","16,779.43"
38.0,"9,412.89","14,364.15","17,223.58","16,754.11","18,607.92","17,200.32","24,470.88","30,905.65","17,232.93"
39.0,"9,660.60","14,742.15","17,676.84","17,195.01","19,097.61","17,652.96","25,114.85","31,718.96","17,686.43"
40.0,"9,908.30","15,120.16","18,130.09","17,635.90","19,587.29","18,105.60","25,758.82","32,532.27","18,139.92"
41.0,"10,156.01","15,498.16","18,583.34","18,076.80","20,076.97","18,558.24","26,402.79","33,345.57","18,593.42"
42.0,"10,403.72","15,876.16","19,036.59","18,517.70","20,566.65","19,010.88","27,046.76","34,158.88","19,046.92"
